,,,GA,,,OR,,,
,,,weight,value,time,weight,value,time
00Uncorrelated
,n00050
,,R01000,14526,20910,0.15,14721,20995,0.0
,,R10000,147639,213416,0.15,147083,209818,0.0
,n00100
,,R01000,22464,28281,0.55,22519,46537,0.0
,,R10000,224620,303186,0.5,225212,465424,0.0
,n00200
,,R01000,#NA,#NA,1.0,50302,84317,0.0
,,R10000
