,,,GA,,,OR,,,
,,,weight,value,time,weight,value,time
00Uncorrelated
,n00050
,,R01000,14657,20469,0.23,14721,20995,0.0
,,R10000,146444,204556,0.24,147083,209818,0.0
,n00100
,,R01000,22485,30493,0.72,22519,46537,0.0
,,R10000,224862,315587,0.83,225212,465424,0.0
,n00200
,,R01000,50013,76499,2.3,50302,84317,0.0
,,R10000,502445,765923,2.12,502608,843127,0.0
,n00500
,,R01000,118557,172435,11.0,118693,207992,0.0
,,R10000,1184080,1725075,11.44,1185802,2078639,0.0
,n01000
,,R01000,251985,286960,1.1,252480,400811,0.0
,,R10000,2517562,2896064,1.09,2522529,4005798,0.0
,n02000
,,R01000,502611,546418,2.11,502731,808902,0.02
,,R10000,5022550,5416724,2.28,5023024,8084297,0.02
,n05000
,,R01000,1231506,1278958,5.66,1231707,2041002,0.14
,,R10000,12304971,12848500,6.05,12305918,20398463,0.14
,n10000
,,R01000,2478756,2559878,10.22,2478760,4052367,0.49
,,R10000,24765072,25491254,10.34,24765111,40500261,0.49
01WeaklyCorrelated
,n00050
,,R01000,14199,14281,0.2,14232,15768,0.0
,,R10000,142253,142851,0.22,142272,157504,0.0
,n00100
,,R01000,28993,31680,0.67,29013,31064,0.0
,,R10000,289733,313061,0.8,289895,310315,0.0
,n00200
,,R01000,51555,55547,2.31,51563,56976,0.0
,,R10000,514829,554871,2.13,515196,569063,0.0
,n00500
,,R01000,127277,136656,10.51,127276,139258,0.0
,,R10000,1271626,1366391,10.71,1271685,1390993,0.02
,n01000
,,R01000,245966,247254,1.08,245972,273052,0.02
,,R10000,2457257,2468626,1.11,2457528,2727089,0.0
,n02000
,,R01000,498443,500493,2.25,498452,552506,0.02
,,R10000,4979351,4995114,2.15,4980107,5518106,0.02
,n05000
,,R01000,1249257,1254260,6.69,1249257,1378225,0.15
,,R10000,12481548,12543200,6.27,12481621,13765053,0.41
,n10000
,,R01000,2480939,2482890,10.81,2480964,2743167,1.11
,,R10000,24787457,24816899,11.98,24787545,27397375,0.44
02StronglyCorrelated
,n00050
,,R01000,14239,12639,0.21,14239,17539,0.03
,,R10000,142135,127135,0.23,142283,175283,0.04
,n00100
,,R01000,29013,25813,0.8,29017,35617,0.19
,,R10000,289959,257959,0.75,289961,355961,0.29
,n00200
,,R01000,51563,45663,2.09
