,,,GA,,,OR,,,
,,,weight,value,time,weight,value,time
00Uncorrelated
,n00050
,,R01000,14657,20469,0.27,14721,20995,0.0
,,R10000,146444,204556,0.28,147083,209818,0.0
,n00100
,,R01000,22485,30493,0.75,22519,46537,0.0
,,R10000,224862,315587,0.86,225212,465424,0.0
,n00200
,,R01000,50013,76499,2.21,50302,84317,0.0
,,R10000,502445,765923,2.14,502608,843127,0.0
,n00500
,,R01000,118557,172435,11.83,118693,207992,0.0
,,R10000,1184080,1725075,12.2,1185802,2078639,0.0
,n01000
,,R01000,251985,286960,1.16,252480,400811,0.0
,,R10000,2517562,2896064,1.1,2522529,4005798,0.0
,n02000
,,R01000,502611,546418,2.08,502731,808902,0.02
,,R10000,5022550,5416724,2.04,5023024,8084297,0.02
,n05000
,,R01000,1231506,1278958,5.41,1231707,2041002,0.12
,,R10000,12304971,12848500,5.65,12305918,20398463,0.13
,n10000
,,R01000,2478756,2559878,11.81,2478760,4052367,0.47
,,R10000,24765072,25491254,10.07,24765111,40500261,0.58
01WeaklyCorrelated
,n00050
,,R01000,14199,14281,0.25,14232,15768,0.0
,,R10000,142253,142851,0.21,142272,157504,0.0
,n00100
,,R01000,28993,31680,0.67,29013,31064,0.0
,,R10000,289733,313061,0.72,289895,310315,0.0
,n00200
,,R01000,51555,55547,2.18,51563,56976,0.0
,,R10000,514829,554871,2.25,515196,569063,0.0
,n00500
,,R01000,127277,136656,11.29,127276,139258,0.0
,,R10000,1271626,1366391,11.28,1271685,1390993,0.02
,n01000
,,R01000,245966,247254,1.06,245972,273052,0.02
,,R10000,2457257,2468626,1.08,2457528,2727089,0.0
,n02000
,,R01000,498443,500493,1.97,498452,552506,0.02
,,R10000,4979351,4995114,1.93,4980107,5518106,0.01
,n05000
,,R01000,1249257,1254260,5.21,1249257,1378225,0.11
,,R10000,12481548,12543200,5.96,12481621,13765053,0.37
,n10000
,,R01000,2480939,2482890,10.83,2480964,2743167,1.01
,,R10000,24787457,24816899,11.2,24787545,27397375,0.47
02StronglyCorrelated
,n00050
,,R01000,14239,12639,0.24,14239,17539,0.03
,,R10000,142135,127135,0.23,142283,175283,0.04
,n00100
,,R01000,29013,25813,0.7,29017,35617,0.18
,,R10000,289959,257959,0.78,289961,355961,0.28
,n00200
,,R01000,51563,45663,2.01
